timestamp, index, utilization.gpu [%], memory.used [MiB]
2026/09/05 03:24:31.203, 0, 5 %, 11565 MiB
2026/09/05 03:24:31.205, 1, 0 %, 8555 MiB
2026/09/05 03:24:32.206, 0, 3 %, 11565 MiB
2026/09/05 03:24:32.208, 1, 0 %, 8555 MiB
2026/09/05 03:24:33.210, 0, 3 %, 11565 MiB
2026/09/05 03:24:33.212, 1, 0 %, 8555 MiB
2026/09/05 03:24:34.213, 0, 4 %, 11565 MiB
2026/09/05 03:24:34.215, 1, 0 %, 8555 MiB
2026/09/05 03:24:35.217, 0, 2 %, 11565 MiB
2026/09/05 03:24:35.219, 1, 0 %, 8555 MiB
2026/09/05 03:24:36.221, 0, 5 %, 11565 MiB
2026/09/05 03:24:36.223, 1, 0 %, 8555 MiB
2026/09/05 03:24:37.224, 0, 6 %, 11565 MiB
2026/09/05 03:24:37.225, 1, 0 %, 8555 MiB
2026/09/05 03:24:38.226, 0, 6 %, 11565 MiB
2026/09/05 03:24:38.228, 1, 0 %, 8555 MiB
2026/09/05 03:24:39.230, 0, 4 %, 11565 MiB
2026/09/05 03:24:39.232, 1, 0 %, 8555 MiB
2026/09/05 03:24:40.234, 0, 4 %, 11565 MiB
2026/09/05 03:24:40.236, 1, 0 %, 8555 MiB
2026/09/05 03:24:41.237, 0, 5 %, 11565 MiB
2026/09/05 03:24:41.238, 1, 0 %, 8555 MiB
2026/09/05 03:24:42.240, 0, 7 %, 11565 MiB
2026/09/05 03:24:42.241, 1, 0 %, 8555 MiB
2026/09/05 03:24:43.242, 0, 7 %, 11565 MiB
2026/09/05 03:24:43.243, 1, 0 %, 8555 MiB
2026/09/05 03:24:44.243, 0, 7 %, 11565 MiB
2026/09/05 03:24:44.245, 1, 0 %, 8555 MiB
